Group 51, TypeA,  10.009, 10, 9, UTaX_CB_HV16, 250, UTaX_5CB_M3, 229, UTaX_6CB_S2, 231, UTaX_6CB_M3, 231, UTaX_7CB_S3, 215, UTaX_7CB_M3, 230, UTaX_8CB_S2, 293, UTaX_8CB_M3, 227,    ....Vgroup updated!! , 215.134, 230.912, 292.561
Group 52, TypeA,  10.010, 10, 10, UTaX_CB_HV17, 240, UTaX_1CB_S4, 236, UTaX_1CB_M4, 238, UTaX_2CB_S3, 231, UTaX_2CB_M4, 234, UTaX_3CB_S3, 229, UTaX_3CB_M4, 232, UTaX_4CB_M4, 226
Group 53, TypeA,  10.011, 10, 11, UTaX_CB_HV18, 250, UTaX_5CB_S3, 231, UTaX_5CB_M4, 225, UTaX_6CB_S3, 231, UTaX_6CB_M4, 204, UTaX_7CB_M4, 218, UTaX_8CB_S3, 283, UTaX_8CB_M4, 223,    ....Vgroup updated!! , 204.127, 231.195, 283.423
Group 90, TypeD,   3.000, 3, 0, UTaU_CT_HV1, 200, UTaU_1CT_S1, 196
Group 91, TypeC,   3.001, 3, 1, UTaU_CT_HV2, 190, UTaU_1CT_M1, 185
Group 92, TypeB,   3.002, 3, 2, UTaU_CT_HV3, 260, UTaU_1CT_S2, 251
Group 93, TypeB,   3.003, 3, 3, UTaU_CT_HV4, 260, UTaU_2CT_M1, 257
Group 94, TypeB,   3.004, 3, 4, UTaU_CT_HV5, 270, UTaU_2CT_S1, 269
Group 95, TypeA,   3.005, 3, 5, UTaU_CT_HV6, 230, UTaU_3CT_M1, 221
Group 96, TypeA,   3.006, 3, 6, UTaU_CT_HV7, 240, UTaU_4CT_M1, 225, UTaU_5CT_M1, 231
Group 97, TypeA,   3.007, 3, 7, UTaU_CT_HV8, 290, UTaU_6CT_M1, 233, UTaU_7CT_M1, 228, UTaU_8CT_M1, 285
Group 98, TypeA,   3.008, 3, 8, UTaU_CT_HV9, 230, UTaU_1CT_M2, 221, UTaU_2CT_M2, 183
Group 99, TypeA,   3.009, 3, 9, UTaU_CT_HV10, 230, UTaU_3CT_S1, 227
Group 100, TypeA,   3.010, 3, 10, UTaU_CT_HV11, 240, UTaU_3CT_M2, 219, UTaU_4CT_M2, 226, UTaU_4CT_S1, 223, UTaU_4CT_S2, 233, UTaU_5CT_S1, 229
Group 101, TypeA,   3.011, 3, 11, UTaU_CT_HV12, 240, UTaU_5CT_M2, 229, UTaU_6CT_M2, 231, UTaU_6CT_S1, 225, UTaU_7CT_S1, 224
Group 102, TypeA,   4.000, 4, 0, UTaU_CT_HV13, 290, UTaU_7CT_M2, 229, UTaU_7CT_S2, 232, UTaU_8CT_M2, 289, UTaU_8CT_S1, 226
Group 103, TypeA,   4.001, 4, 1, UTaU_CT_HV14, 230, UTaU_1CT_M3, 221, UTaU_1CT_S3, 208, UTaU_2CT_S2, 189
Group 104, TypeA,   4.002, 4, 2, UTaU_CT_HV15, 240, UTaU_2CT_M3, 229, UTaU_3CT_M3, 224, UTaU_3CT_S2, 234, UTaU_4CT_M3, 231, UTaU_4CT_S3, 233, UTaU_5CT_S2, 234
Group 105, TypeA,   4.003, 4, 3, UTaU_CT_HV16, 240, UTaU_5CT_M3, 231, UTaU_6CT_M3, 229, UTaU_6CT_S2, 229, UTaU_7CT_M3, 227, UTaU_7CT_S3, 228, UTaU_8CT_M3, 226, UTaU_8CT_S2, 231
Group 106, TypeA,   4.004, 4, 4, UTaU_CT_HV17, 240, UTaU_1CT_M4, 212, UTaU_1CT_S4, 219, UTaU_2CT_M4, 211, UTaU_2CT_S3, 223, UTaU_3CT_M4, 226, UTaU_3CT_S3, 230, UTaU_4CT_M4, 233
Group 107, TypeA,   4.005, 4, 5, UTaU_CT_HV18, 280, UTaU_5CT_M4, 226, UTaU_5CT_S3, 232, UTaU_6CT_M4, 218, UTaU_6CT_S3, 230, UTaU_7CT_M4, 279, UTaU_8CT_M4, 229, UTaU_8CT_S3, 227
Group 108, TypeD,   9.000, 9, 0, UTaU_CB_HV1, 210, UTaU_1CB_S1, 201
Group 109, TypeC,   9.001, 9, 1, UTaU_CB_HV2, 190, UTaU_1CB_M1, 189
Group 110, TypeB,   9.002, 9, 2, UTaU_CB_HV3, 260, UTaU_1CB_S2, 250
Group 111, TypeB,   9.003, 9, 3, UTaU_CB_HV4, 270, UTaU_2CB_M1, 268
Group 112, TypeB,   9.004, 9, 4, UTaU_CB_HV5, 280, UTaU_2CB_S1, 278
Group 113, TypeA,   9.005, 9, 5, UTaU_CB_HV6, 230, UTaU_3CB_M1, 223
Group 114, TypeA,   9.006, 9, 6, UTaU_CB_HV7, 230, UTaU_4CB_M1, 228, UTaU_5CB_M1, 228
Group 115, TypeA,   9.007, 9, 7, UTaU_CB_HV8, 230, UTaU_6CB_M1, 227, UTaU_7CB_M1, 226, UTaU_8CB_M1, 217
Group 116, TypeA,   9.008, 9, 8, UTaU_CB_HV9, 240, UTaU_1CB_M2, 220, UTaU_2CB_M2, 233
Group 117, TypeA,   9.009, 9, 9, UTaU_CB_HV10, 220, UTaU_3CB_S1, 219
Group 118, TypeA,   9.010, 9, 10, UTaU_CB_HV11, 240, UTaU_3CB_M2, 233, UTaU_4CB_S2, 226, UTaU_4CB_S1, 224, UTaU_4CB_M2, 231, UTaU_5CB_S1, 227
Group 119, TypeA,   9.011, 9, 11, UTaU_CB_HV12, 230, UTaU_5CB_M2, 229, UTaU_6CB_S1, 229, UTaU_6CB_M2, 225, UTaU_7CB_S1, 230
Group 120, TypeA,  10.000, 10, 0, UTaU_CB_HV13, 240, UTaU_7CB_S2, 234, UTaU_7CB_M2, 231, UTaU_8CB_S1, 218, UTaU_8CB_M2, 226
Group 121, TypeA,  10.001, 10, 1, UTaU_CB_HV14, 220, UTaU_1CB_S3, 210, UTaU_1CB_M3, 217, UTaU_2CB_S2, 193
Group 122, TypeA,  10.002, 10, 2, UTaU_CB_HV15, 240, UTaU_2CB_M3, 218, UTaU_3CB_S2,   0, UTaU_3CB_M3, 233, UTaU_4CB_S3, 236, UTaU_4CB_M3, 231, UTaU_5CB_S2, 229
Group 123, TypeA,  10.003, 10, 3, UTaU_CB_HV16, 240, UTaU_5CB_M3, 231, UTaU_6CB_S2, 236, UTaU_6CB_M3, 229, UTaU_7CB_S3, 228, UTaU_7CB_M3, 230, UTaU_8CB_S2, 235, UTaU_8CB_M3,   0
Group 124, TypeA,  10.004, 10, 4, UTaU_CB_HV17, 250, UTaU_1CB_S4, 205, UTaU_1CB_M4, 223, UTaU_2CB_S3, 233, UTaU_2CB_M4, 242, UTaU_3CB_S3, 223, UTaU_3CB_M4, 229, UTaU_4CB_M4, 226
