Group 69, TypeA,  10.009, 10, 9, UTaX_AB_HV16, 280, UTaX_5AB_M3, 225, UTaX_6AB_S2, 222, UTaX_6AB_M3, 228, UTaX_7AB_S3, 218, UTaX_7AB_M3, 217, UTaX_8AB_S2, 241, UTaX_8AB_M3, 276
Group 70, TypeA,  10.010, 10, 10, UTaX_AB_HV17, 280, UTaX_1AB_S4, 221, UTaX_1AB_M4, 279, UTaX_2AB_S3, 213, UTaX_2AB_M4, 217, UTaX_3AB_S3, 226, UTaX_3AB_M4, 225, UTaX_4AB_M4, 219
Group 71, TypeA,  10.011, 10, 11, UTaX_AB_HV18, 280, UTaX_5AB_S3, 267, UTaX_5AB_M4, 219, UTaX_6AB_S3, 224, UTaX_6AB_M4, 232, UTaX_7AB_M4, 232, UTaX_8AB_S3, 277, UTaX_8AB_M4, 259
Group 72, TypeD,   3.000, 3, 0, UTaU_AT_HV1, 220, UTaU_1AT_S1, 215
Group 73, TypeC,   3.001, 3, 1, UTaU_AT_HV2, 190, UTaU_1AT_M1, 189
Group 74, TypeB,   3.002, 3, 2, UTaU_AT_HV3, 260, UTaU_1AT_S2, 252
Group 75, TypeB,   3.003, 3, 3, UTaU_AT_HV4, 280, UTaU_2AT_M1, 270
Group 76, TypeB,   3.004, 3, 4, UTaU_AT_HV5, 280, UTaU_2AT_S1, 273
Group 77, TypeA,   3.005, 3, 5, UTaU_AT_HV6, 230, UTaU_3AT_M1, 222
Group 78, TypeA,   3.006, 3, 6, UTaU_AT_HV7, 240, UTaU_4AT_M1, 226, UTaU_5AT_M1, 231
Group 79, TypeA,   3.007, 3, 7, UTaU_AT_HV8, 240, UTaU_6AT_M1, 237, UTaU_7AT_M1, 214, UTaU_8AT_M1,   0
Group 80, TypeA,   3.008, 3, 8, UTaU_AT_HV9, 230, UTaU_1AT_M2, 221, UTaU_2AT_M2,   0
Group 81, TypeA,   3.009, 3, 9, UTaU_AT_HV10, 230, UTaU_3AT_S1, 226
Group 82, TypeA,   3.010, 3, 10, UTaU_AT_HV11, 240, UTaU_3AT_M2, 229, UTaU_4AT_M2, 230, UTaU_4AT_S1, 233, UTaU_4AT_S2, 235, UTaU_5AT_S1, 237
Group 83, TypeA,   3.011, 3, 11, UTaU_AT_HV12, 240, UTaU_5AT_M2, 232, UTaU_6AT_M2, 237, UTaU_6AT_S1, 229, UTaU_7AT_S1, 232
Group 84, TypeA,   4.000, 4, 0, UTaU_AT_HV13, 240, UTaU_7AT_M2, 230, UTaU_7AT_S2, 238, UTaU_8AT_M2,   0, UTaU_8AT_S1, 226
Group 85, TypeA,   4.001, 4, 1, UTaU_AT_HV14, 240, UTaU_1AT_M3, 234, UTaU_1AT_S3, 205, UTaU_2AT_S2, 224
Group 86, TypeA,   4.002, 4, 2, UTaU_AT_HV15, 240, UTaU_2AT_M3, 218, UTaU_3AT_M3, 232, UTaU_3AT_S2, 230, UTaU_4AT_M3, 225, UTaU_4AT_S3, 229, UTaU_5AT_S2, 233
Group 87, TypeA,   4.003, 4, 3, UTaU_AT_HV16, 240, UTaU_5AT_M3, 235, UTaU_6AT_M3, 228, UTaU_6AT_S2, 235, UTaU_7AT_M3, 225, UTaU_7AT_S3, 233, UTaU_8AT_M3, 209, UTaU_8AT_S2, 232
Group 88, TypeA,   4.004, 4, 4, UTaU_AT_HV17, 240, UTaU_1AT_M4, 239, UTaU_1AT_S4, 235, UTaU_2AT_M4, 229, UTaU_2AT_S3, 219, UTaU_3AT_M4, 229, UTaU_3AT_S3, 229, UTaU_4AT_M4,   0
Group 89, TypeA,   4.005, 4, 5, UTaU_AT_HV18, 290, UTaU_5AT_M4, 230, UTaU_5AT_S3, 227, UTaU_6AT_M4, 240, UTaU_6AT_S3, 225, UTaU_7AT_M4, 302, UTaU_8AT_M4,   0, UTaU_8AT_S3, 272,    ....Vgroup updated!! , 224.972, 271.984, 301.566
Group 126, TypeD,   9.000, 9, 0, UTaU_AB_HV1, 210, UTaU_1AB_S1, 210
Group 127, TypeC,   9.001, 9, 1, UTaU_AB_HV2, 200, UTaU_1AB_M1, 194
Group 128, TypeB,   9.002, 9, 2, UTaU_AB_HV3, 250, UTaU_1AB_S2, 246
Group 129, TypeB,   9.003, 9, 3, UTaU_AB_HV4, 270, UTaU_2AB_M1, 267
Group 130, TypeB,   9.004, 9, 4, UTaU_AB_HV5, 260, UTaU_2AB_S1, 256
