HV group: 30 UTaX_CB_HV17 SenID(s)=  90 98 104 111 -1 -1 -1 -1 -1  SenName(s)=  UTaX_7CT_M2 UTaX_7CT_S2 UTaX_8CT_M2 UTaX_8CT_S1 
HV group: 31 UTaX_CB_HV15 SenID(s)=  6 14 28 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CT_M3 UTaX_1CT_S3 UTaX_2CT_S2 
HV group: 32 UTaX_CB_HV10 SenID(s)=  21 35 42 49 57 70 -1 -1 -1  SenName(s)=  UTaX_2CT_M3 UTaX_3CT_M3 UTaX_3CT_S2 UTaX_4CT_M3 UTaX_4CT_S3 UTaX_5CT_S2 
HV group: 33 UTaX_CT_HV6 SenID(s)=  63 77 84 91 99 105 112 -1 -1  SenName(s)=  UTaX_5CT_M3 UTaX_6CT_M3 UTaX_6CT_S2 UTaX_7CT_M3 UTaX_7CT_S3 UTaX_8CT_M3 UTaX_8CT_S2 
HV group: 34 UTaX_CT_HV11 SenID(s)=  7 15 22 29 36 43 50 -1 -1  SenName(s)=  UTaX_1CT_M4 UTaX_1CT_S4 UTaX_2CT_M4 UTaX_2CT_S3 UTaX_3CT_M4 UTaX_3CT_S3 UTaX_4CT_M4 
HV group: 35 UTaX_CT_HV15 SenID(s)=  64 71 78 85 92 106 113 -1 -1  SenName(s)=  UTaX_5CT_M4 UTaX_5CT_S3 UTaX_6CT_M4 UTaX_6CT_S3 UTaX_7CT_M4 UTaX_8CT_M4 UTaX_8CT_S3 
HV group: 36 UTaX_CT_HV17 SenID(s)=  3 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CB_S1 
HV group: 37 UTaX_CB_HV17 SenID(s)=  11 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CB_M1 
HV group: 38 UTaX_CB_HV15 SenID(s)=  2 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CB_S2 
HV group: 39 UTaX_CB_HV11 SenID(s)=  26 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_2CB_M1 
HV group: 40 UTaX_CB_HV6 SenID(s)=  18 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_2CB_S1 
HV group: 41 UTaX_CT_HV10 SenID(s)=  40 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_3CB_M1 
HV group: 42 UTaX_CT_HV15 SenID(s)=  54 68 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_4CB_M1 UTaX_5CB_M1 
HV group: 43 UTaX_CT_HV17 SenID(s)=  82 96 110 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_6CB_M1 UTaX_7CB_M1 UTaX_8CB_M1 
HV group: 44 UTaX_CB_HV15 SenID(s)=  10 25 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CB_M2 UTaX_2CB_M2 
HV group: 45 UTaX_CB_HV11 SenID(s)=  32 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_3CB_S1 
HV group: 46 UTaX_CB_HV11 SenID(s)=  39 45 46 53 60 -1 -1 -1 -1  SenName(s)=  UTaX_3CB_M2 UTaX_4CB_S2 UTaX_4CB_S1 UTaX_4CB_M2 UTaX_5CB_S1 
HV group: 47 UTaX_CT_HV7 SenID(s)=  67 74 81 88 -1 -1 -1 -1 -1  SenName(s)=  UTaX_5CB_M2 UTaX_6CB_S1 UTaX_6CB_M2 UTaX_7CB_S1 
HV group: 48 UTaX_CT_HV11 SenID(s)=  87 95 102 109 -1 -1 -1 -1 -1  SenName(s)=  UTaX_7CB_S2 UTaX_7CB_M2 UTaX_8CB_S1 UTaX_8CB_M2 
HV group: 49 UTaX_CT_HV15 SenID(s)=  1 9 17 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CB_S3 UTaX_1CB_M3 UTaX_2CB_S2 
HV group: 50 UTaX_CT_HV17 SenID(s)=  24 31 38 44 52 59 -1 -1 -1  SenName(s)=  UTaX_2CB_M3 UTaX_3CB_S2 UTaX_3CB_M3 UTaX_4CB_S3 UTaX_4CB_M3 UTaX_5CB_S2 
HV group: 51 UTaX_CB_HV17 SenID(s)=  66 73 80 86 94 101 108 -1 -1  SenName(s)=  UTaX_5CB_M3 UTaX_6CB_S2 UTaX_6CB_M3 UTaX_7CB_S3 UTaX_7CB_M3 UTaX_8CB_S2 UTaX_8CB_M3 
HV group: 52 UTaX_CB_HV15 SenID(s)=  0 8 16 23 30 37 51 -1 -1  SenName(s)=  UTaX_1CB_S4 UTaX_1CB_M4 UTaX_2CB_S3 UTaX_2CB_M4 UTaX_3CB_S3 UTaX_3CB_M4 UTaX_4CB_M4 
HV group: 53 UTaX_CB_HV11 SenID(s)=  58 65 72 79 93 100 107 -1 -1  SenName(s)=  UTaX_5CB_S3 UTaX_5CB_M4 UTaX_6CB_S3 UTaX_6CB_M4 UTaX_7CB_M4 UTaX_8CB_S3 UTaX_8CB_M4 
HV group: 54 UTaX_CB_HV7 SenID(s)=  487 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AB_S1 
HV group: 55 UTaX_CT_HV11 SenID(s)=  495 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AB_M1 
HV group: 56 UTaX_CT_HV11 SenID(s)=  486 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AB_S2 
HV group: 57 UTaX_CT_HV15 SenID(s)=  510 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_2AB_M1 
HV group: 58 UTaX_CB_HV18 SenID(s)=  502 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_2AB_S1 
HV group: 59 UTaX_CB_HV15 SenID(s)=  524 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_3AB_M1 
HV group: 60 UTaX_CB_HV11 SenID(s)=  538 552 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_4AB_M1 UTaX_5AB_M1 
HV group: 61 UTaX_CT_HV7 SenID(s)=  566 580 594 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_6AB_M1 UTaX_7AB_M1 UTaX_8AB_M1 
HV group: 62 UTaX_CT_HV12 SenID(s)=  494 509 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AB_M2 UTaX_2AB_M2 
HV group: 63 UTaX_CT_HV16 SenID(s)=  516 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_3AB_S1 
HV group: 64 UTaX_CT_HV18 SenID(s)=  523 529 530 537 544 -1 -1 -1 -1  SenName(s)=  UTaX_3AB_M2 UTaX_4AB_S2 UTaX_4AB_S1 UTaX_4AB_M2 UTaX_5AB_S1 
HV group: 65 UTaX_CB_HV18 SenID(s)=  551 558 565 572 -1 -1 -1 -1 -1  SenName(s)=  UTaX_5AB_M2 UTaX_6AB_S1 UTaX_6AB_M2 UTaX_7AB_S1 
HV group: 66 UTaX_CB_HV16 SenID(s)=  571 579 586 593 -1 -1 -1 -1 -1  SenName(s)=  UTaX_7AB_S2 UTaX_7AB_M2 UTaX_8AB_S1 UTaX_8AB_M2 
HV group: 67 UTaX_CB_HV12 SenID(s)=  485 493 501 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AB_S3 UTaX_1AB_M3 UTaX_2AB_S2 
HV group: 68 UTaX_CB_HV7 SenID(s)=  508 515 522 528 536 543 -1 -1 -1  SenName(s)=  UTaX_2AB_M3 UTaX_3AB_S2 UTaX_3AB_M3 UTaX_4AB_S3 UTaX_4AB_M3 UTaX_5AB_S2 
HV group: 69 UTaX_CT_HV11 SenID(s)=  550 557 564 570 578 585 592 -1 -1  SenName(s)=  UTaX_5AB_M3 UTaX_6AB_S2 UTaX_6AB_M3 UTaX_7AB_S3 UTaX_7AB_M3 UTaX_8AB_S2 UTaX_8AB_M3 
HV group: 70 UTaX_CT_HV15 SenID(s)=  484 492 500 507 514 521 535 -1 -1  SenName(s)=  UTaX_1AB_S4 UTaX_1AB_M4 UTaX_2AB_S3 UTaX_2AB_M4 UTaX_3AB_S3 UTaX_3AB_M4 UTaX_4AB_M4 
HV group: 71 UTaX_CT_HV18 SenID(s)=  542 549 556 563 577 584 591 -1 -1  SenName(s)=  UTaX_5AB_S3 UTaX_5AB_M4 UTaX_6AB_S3 UTaX_6AB_M4 UTaX_7AB_M4 UTaX_8AB_S3 UTaX_8AB_M4 
HV group: 72 UTaX_CB_HV18 SenID(s)=  610 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1AT_S1 
HV group: 73 UTaX_CB_HV16 SenID(s)=  602 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1AT_M1 
HV group: 74 UTaX_CB_HV12 SenID(s)=  611 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1AT_S2 
HV group: 75 UTaX_CT_HV8 SenID(s)=  617 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_2AT_M1 
HV group: 76 UTaX_CT_HV12 SenID(s)=  625 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_2AT_S1 
HV group: 77 UTaX_CT_HV16 SenID(s)=  631 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_3AT_M1 
HV group: 78 UTaX_CT_HV18 SenID(s)=  645 659 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_4AT_M1 UTaU_5AT_M1 
HV group: 79 UTaX_CB_HV18 SenID(s)=  673 687 701 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_6AT_M1 UTaU_7AT_M1 UTaU_8AT_M1 
HV group: 80 UTaX_CB_HV16 SenID(s)=  603 618 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1AT_M2 UTaU_2AT_M2 
HV group: 81 UTaX_CB_HV12 SenID(s)=  639 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_3AT_S1 
